itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
229556,Cardiac Assist Cannula Date,Cardiac Assist Cannula Date,datetimeevents,Access Lines - Invasive,,Date and time,,
229558,Cardiac Assist Cannula Discontinued,Cardiac Assist Cannula Discontinued,chartevents,Access Lines - Invasive,,Text,,
229560,Cardiac Assist Cannula Position,Cardiac Assist Cannula Position,chartevents,Access Lines - Invasive,,Text,,
229559,Cardiac Assist Cannula Site Appear,Cardiac Assist Cannula Site Appear,chartevents,Access Lines - Invasive,,Text,,
224269,CCO PAC,CCO PAC,procedureevents,Access Lines - Invasive,None,Processes,,
225221,CCO PAC Cap Change,CCO PAC Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225222,CCO PAC Change over Wire Date,CCO PAC Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225738,CCO PAC Discontinued,CCO PAC Discontinued,chartevents,Access Lines - Invasive,,Text,,
225224,CCO PAC Dressing Change,CCO PAC Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227352,CCO PAC Dressing Occlusive,CCO PAC Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225774,CCO PAC Dressing Type,CCO PAC Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225316,CCO PAC Insertion Date,CCO PAC Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225723,CCO PAC Line Tip Cultured,CCO PAC Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226108,CCO PAC placed in outside facility,CCO PAC placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227751,CCO PAC Placement Confirmed by X-ray,CCO PAC Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225225,CCO PAC Site Appear,CCO PAC Site Appear,chartevents,Access Lines - Invasive,,Text,,
225226,CCO PAC Tubing Change,CCO PAC Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225227,CCO PAC Waveform Appear,CCO PAC Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225228,CCO PAC Zero/Calibrate,CCO PAC Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
229527,Centrimag Inflow Line,Centrimag Inflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
229528,Centrimag Outflow Line,Centrimag Outflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
225775,Cordis Introducer Dressing Type,Cordis Introducer Dressing Type,chartevents,Access Lines - Invasive,,Text,,
224267,Cordis/Introducer,Cordis/Introducer,procedureevents,Access Lines - Invasive,None,Processes,,
224292,Cordis/Introducer Cap Change,Cordis Introducer Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224293,Cordis/Introducer Change over Wire Date,Cordis/Introducer Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225739,Cordis/Introducer Discontinued,Cordis/Introducer Discontinued,chartevents,Access Lines - Invasive,,Text,,
224295,Cordis/Introducer Dressing Change,Cordis/Introducer Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227350,Cordis/Introducer Dressing Occlusive,Cordis/Introducer Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
224296,Cordis/Introducer Insertion Date,Cordis/Introducer Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225724,Cordis/Introducer Line Tip Cultured,Cordis/Introducer Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226109,Cordis/Introducer placed in outside facility,Cordis/Introducer placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227752,Cordis/Introducer Placement Confirmed by X-ray,Cordis/Introducer Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
224297,Cordis/Introducer Site Appear,Cordis/Introducer Site Appear,chartevents,Access Lines - Invasive,,Text,,
224298,Cordis/Introducer Tubing Change,Cordis/Introducer Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229882,CVL Biopatch,CVL Biopatch,chartevents,Access Lines - Invasive,,Checkbox,,
224270,Dialysis Catheter,Dialysis Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
225318,Dialysis Catheter Cap Change,Dialysis Catheter Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225319,Dialysis Catheter Change over Wire Date,Dialysis Catheter Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225740,Dialysis Catheter Discontinued,Dialysis Catheter Discontinued,chartevents,Access Lines - Invasive,,Text,,
225321,Dialysis Catheter Dressing Change,Dialysis Catheter Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227357,Dialysis Catheter Dressing Occlusive,Dialysis Catheter Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225776,Dialysis Catheter Dressing Type,Dialysis Catheter Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225322,Dialysis Catheter Insertion Date,Dialysis Catheter Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226118,Dialysis Catheter placed in outside facility,Dialysis Cath placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227753,Dialysis Catheter Placement Confirmed by X-ray,Dialysis Catheter Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225323,Dialysis Catheter Site Appear,Dialysis Catheter Site Appear,chartevents,Access Lines - Invasive,,Text,,
225725,Dialysis Catheter Tip Cultured,Dialysis Catheter Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
227124,Dialysis Catheter Type,Dialysis Catheter Type,chartevents,Access Lines - Invasive,,Text,,
229536,Dialysis Catheter Type,Dialysis Catheter Type,chartevents,Access Lines - Invasive,,Text,,
225324,Dialysis CatheterTubing Change,Dialysis Catheter Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229881,Dialysis/Pheresis Biopatch,Dialysis/Pheresis Biopatch,chartevents,Access Lines - Invasive,,Checkbox,,
229529,ECMO Inflow Line,ECMO Inflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
229530,ECMO Outflow Line,ECMO Outflow Line,procedureevents,Access Lines - Invasive,None,Processes,,
229514,EKOS,EKOS,procedureevents,Access Lines - Invasive,None,Processes,,
229542,EKOS Dressing Change,EKOS Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
229541,EKOS Insertion Date,EKOS Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
229544,EKOS Line Discontinued,EKOS Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
229545,EKOS Line Site Appear,EKOS Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
229548,EKOS Position,EKOS Position,chartevents,Access Lines - Invasive,,Text,,
229547,EKOS site,EKOS site,chartevents,Access Lines - Invasive,,Text,,
229546,EKOS US,EKOS US,chartevents,Access Lines - Invasive,,Text,,
229519,EVD #1,EVD #1,procedureevents,Access Lines - Invasive,None,Processes,,
229520,EVD #2,EVD #2,procedureevents,Access Lines - Invasive,None,Processes,,
225981,IABP Alarms Activated,IABP Alarms Activated,chartevents,Access Lines - Invasive,,Checkbox,,
225341,IABP Art. Waveform Appear,IABP Art. Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225986,IABP Arterial Waveform Source,IABP Arterial Waveform Source,chartevents,Access Lines - Invasive,,Text,,
225982,IABP Balloon Waveform,IABP Balloon Waveform,chartevents,Access Lines - Invasive,,Text,,
225335,IABP Cap Change,IABP Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225336,IABP Change over Wire Date,IABP Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225337,IABP Dressing Change,IABP Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227355,IABP Dressing Occlusive,IABP Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225778,IABP Dressing Type,IABP Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225985,IABP Helium Tubing,IABP Helium Tubing,chartevents,Access Lines - Invasive,,Text,,
225338,IABP Insertion Date,IABP Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
224272,IABP line,IABP line,procedureevents,Access Lines - Invasive,None,Processes,,
225742,IABP Line Discontinued,IABP Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
225727,IABP Line Tip Cultured,IABP Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226110,IABP placed in outside facility,IABP placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227754,IABP Placement Confirmed by X-ray,IABP Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225988,IABP Position on leg,IABP Position on leg,chartevents,Access Lines - Invasive,,Text,,
225987,IABP Power Source,IABP Power Source,chartevents,Access Lines - Invasive,,Text,,
225339,IABP Site Appear,IABP Site Appear,chartevents,Access Lines - Invasive,,Text,,
225979,IABP Size,IABP Size,chartevents,Access Lines - Invasive,,Text,,
225984,IABP Trigger,IABP Trigger,chartevents,Access Lines - Invasive,,Text,,
225340,IABP Tubing Change,IABP Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225980,IABP Volume,IABP Volume,chartevents,Access Lines - Invasive,mL,Numeric,,
225342,IABP Zero/Calibrate,IABP Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
229518,ICP - Camino,ICP - Camino,procedureevents,Access Lines - Invasive,None,Processes,,
229539,ICP - Camino marked,ICP - Camino marked,chartevents,Access Lines - Invasive,,Checkbox,,
229521,ICP - PbtO2,ICP - PbtO2,procedureevents,Access Lines - Invasive,None,Processes,,
226124,ICP Catheter,ICP/Neuro Mon Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
226125,ICP Line Discontinued,ICP Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
226126,ICP Line Dressing Change,ICP Line Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227363,ICP Line Dressing Occlusive,ICP Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
226127,ICP Line Dressing Type,ICP Line Dressing Type,chartevents,Access Lines - Invasive,,Text,,
226128,ICP Line Insertion Date,ICP Line Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226129,ICP Line placed in outside facility,ICP Line placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
226130,ICP Line Site Appear,ICP Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
226131,ICP Line Tip Cultured,ICP Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226132,ICP Line Tubing Change,ICP Line Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
226133,ICP Line Waveform Appear,ICP Line Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
226134,ICP Line Zero/Calibrate,ICP Line Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
228160,Impella Aortic Pressure Tubing Change,Impella Aortic Pressure Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228162,Impella Catheter Position,Impella Catheter Position,chartevents,Access Lines - Invasive,cm,Numeric,,
228163,Impella Catheter Repositioned,Impella Catheter Repositioned,chartevents,Access Lines - Invasive,,Checkbox,,
228164,Impella Catheter Site,Impella Catheter Site,chartevents,Access Lines - Invasive,,Text,,
228165,Impella Daily Tubing Change,Impella Daily Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228166,Impella Dressing Change,Impella Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228167,Impella Dressing Occlusive,Impella Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
228168,Impella Insertion Date,Impella Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
228169,Impella Line,Impella Line,procedureevents,Access Lines - Invasive,None,Processes,,
228170,Impella Line Discontinued,Impella Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
228174,Impella Line Site Appear,Impella Line Site Appear,chartevents,Access Lines - Invasive,,Text,,
229680,Impella Line Type,Impella Line Type,chartevents,Access Lines - Invasive,,Text,,
228171,Impella Placement Confirmed,Impella Placement Confirmed,chartevents,Access Lines - Invasive,,Text,,
228173,Impella Position,Impella Position,chartevents,Access Lines - Invasive,,Text,,
228172,Impella Postion Confirmed,Impella Position Confirmed,chartevents,Access Lines - Invasive,,Text,,
227361,Indwelling (PortaCath) Dressing Change,Indwelling (PortaCath) Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227127,Indwelling (PortaCath) Port #1,Indwelling (PortaCath) Port #1,chartevents,Access Lines - Invasive,,Text,,
227126,Indwelling (PortaCath) Port #1 Date Accessed,Indwelling (PortaCath) Port #1 Date Accessed,datetimeevents,Access Lines - Invasive,,Date and time,,
227198,Indwelling (PortaCath) Port #1 Date De-accessed,Indwelling (PortaCath) Port #1 Date De-accessed,datetimeevents,Access Lines - Invasive,,Date and time,,
227128,Indwelling (PortaCath) Port #2,Indwelling (PortaCath) Port #2,chartevents,Access Lines - Invasive,,Text,,
227197,Indwelling (PortaCath) Port #2 Date Accessed,Indwelling (PortaCath) Port #2 Date Accessed,datetimeevents,Access Lines - Invasive,,Date and time,,
227199,Indwelling (PortaCath) Port #2 Date De-accessed,Indwelling (PortaCath) Port #2 Date De-accessed,datetimeevents,Access Lines - Invasive,,Date and time,,
227125,Indwelling (PortaCath) Port Type,Indwelling (PortaCath) Port Type,chartevents,Access Lines - Invasive,,Text,,
229532,Indwelling Port,Indwelling Port,procedureevents,Access Lines - Invasive,None,Processes,,
225202,Indwelling Port (PortaCath),Indwelling Port (PortaCath),procedureevents,Access Lines - Invasive,None,Processes,,
225375,Indwelling Port (PortaCath) Cap Change,Indwelling Port (PortaCath) Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225376,Indwelling Port (PortaCath) Change over Wire Date,Indwelling Port (PortaCath) Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225748,Indwelling Port (PortaCath) Discontinued,Indwelling Port (PortaCath) Discontinued,chartevents,Access Lines - Invasive,,Text,,
225377,Indwelling Port (PortaCath) Dressing Change,Indwelling Port (PortaCath) Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227360,Indwelling Port (PortaCath) Dressing Occlusive,Indwelling Port (PortaCath) Dressing Occlusive_201,chartevents,Access Lines - Invasive,,Checkbox,,
225784,Indwelling Port (PortaCath) Dressing Type,Indwelling Port (PortaCath) Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225378,Indwelling Port (PortaCath) Insertion Date,Indwelling Port (PortaCath) Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225733,Indwelling Port (PortaCath) Line Tip Cultured,Indwelling Port (PortaCath) Line Tip Cultured_2016,chartevents,Access Lines - Invasive,,Checkbox,,
227439,Indwelling Port (PortaCath) placed in outside facility,Indwelling Port placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
229475,Indwelling Port (PortaCath) Power Port,Indwelling Port (PortaCath) Power Port,chartevents,Access Lines - Invasive,,Checkbox,,
225379,Indwelling Port (PortaCath) Site Appear,Indwelling Port (PortaCath) Site Appear,chartevents,Access Lines - Invasive,,Text,,
225380,Indwelling Port (PortaCath)Tubing Change,Indwelling Port (PortaCath) Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
228286,Intraosseous Device,IO Device,procedureevents,Access Lines - Invasive,None,Processes,,
228290,IO Dressing,IO Dressing,chartevents,Access Lines - Invasive,,Text,,
228291,IO Insertion Date,IO Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
228292,IO Placed in outside facility,IO Placed in outside facility,chartevents,Access Lines - Invasive,,Text,,
228293,IO Site Appearance,IO Site Appearance,chartevents,Access Lines - Invasive,,Text,,
228294,IO Wristband in place,IO Wristband in place,chartevents,Access Lines - Invasive,,Text,,
229535,Line Type,Line Type,chartevents,Access Lines - Invasive,,Text,,
229524,Lumbar Drain,Lumbar Drain,procedureevents,Access Lines - Invasive,None,Processes,,
229526,MAC,MAC,procedureevents,Access Lines - Invasive,None,Processes,,
225204,Midline,Midline,procedureevents,Access Lines - Invasive,None,Processes,,
225343,Midline Cap Change,Midline Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225344,Midline Change over Wire Date,Midline Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225743,Midline Discontinued,Midline Discontinued,chartevents,Access Lines - Invasive,,Text,,
225345,Midline Dressing Change,Midline Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227418,Midline Dressing Occlusive,Midline Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225779,Midline Dressing Type,Midline Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225346,Midline Insertion Date,Midline Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
226112,Midline placed in outside facility,Midline placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227755,Midline Placement Confirmed by X-ray,Midline Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225347,Midline Site Appear,Midline Site Appear,chartevents,Access Lines - Invasive,,Text,,
225728,Midline Tip Cultured,Midline Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
225348,Midline Tubing Change,Midline Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224263,Multi Lumen,Multi Lumen,procedureevents,Access Lines - Invasive,None,Processes,,
229534,Multi Lumen - Obturator in place,Multi Lumen - Obturator in place,chartevents,Access Lines - Invasive,,Text,,
224261,Multi Lumen Cap Change,Multi Lumen Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224262,Multi Lumen Change over Wire Date,Multi Lumen Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
229517,Multi Lumen Cooling Catheter,Multi Lumen Cooling Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
224279,Multi Lumen Dressing Change,Multi Lumen Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227293,Multi Lumen Dressing Occlusive,Multi Lumen Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225780,Multi Lumen Dressing Type,Multi Lumen Dressing Type,chartevents,Access Lines - Invasive,,Text,,
224280,Multi Lumen Insertion Date,Multi Lumen Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225744,Multi Lumen Line Discontinued,Multi Lumen Line Discontinued,chartevents,Access Lines - Invasive,,Text,,
225729,Multi Lumen Line Tip Cultured,Multi Lumen Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226113,Multi Lumen placed in outside facility,Multi Lumen placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227756,Multi Lumen Placement Confirmed by X-ray,Multi Lumen Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
224281,Multi Lumen Site Appear,Multi Lumen Site Appear,chartevents,Access Lines - Invasive,,Text,,
224282,Multi Lumen Tubing Change,Multi Lumen Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
224283,Multi Lumen Waveform Appear,Multi Lumen Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225206,Multi Lumen Zero/Calibrate,Multi Lumen Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
229243,Neuro Mon Line Type,Neuro Mon Line Type,chartevents,Access Lines - Invasive,,Text,,
224560,PA Catheter,PA Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
225351,PA Catheter Cap Change,PA Catheter Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225352,PA Catheter Change over Wire Date,PA Catheter Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225745,PA Catheter Discontinued,PA Catheter Discontinued,chartevents,Access Lines - Invasive,,Text,,
225353,PA Catheter Dressing Change,PA Catheter Dressing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
227351,PA Catheter Dressing Occlusive,PA Catheter Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,
225781,PA Catheter Dressing Type,PA Catheter Dressing Type,chartevents,Access Lines - Invasive,,Text,,
225354,PA Catheter Insertion Date,PA Catheter Insertion Date,datetimeevents,Access Lines - Invasive,,Date and time,,
225730,PA Catheter Line Tip Cultured,PA Catheter Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,
226114,PA Catheter placed in outside facility,PA Catheter placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,
227757,PA Catheter Placement Confirmed by X-ray,PA Catheter Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,
225355,PA Catheter Site Appear,PA Catheter Site Appear,chartevents,Access Lines - Invasive,,Text,,
225356,PA Catheter Tubing Change,PA Catheter Tubing Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225357,PA Catheter Waveform Appear,PA Catheter Waveform Appear,chartevents,Access Lines - Invasive,,Text,,
225358,PA Catheter Zero/Calibrate,PA Catheter Zero/Calibrate,chartevents,Access Lines - Invasive,,Checkbox,,
225203,Pheresis Catheter,Pheresis Catheter,procedureevents,Access Lines - Invasive,None,Processes,,
225367,Pheresis Catheter Cap Change,Pheresis Catheter Cap Change,datetimeevents,Access Lines - Invasive,,Date and time,,
225368,Pheresis Catheter Change over Wire Date,Pheresis Catheter Change over Wire Date,datetimeevents,Access Lines - Invasive,,Date and time,,
